# logT  f_HII  f_OIII
4.593670479624516467e+00 9.992553590611601422e-01 6.811885050229647687e-02
4.604450003423172788e+00 9.993468516920250844e-01 8.324567760376770653e-02
4.615229527221829109e+00 9.994255641682999736e-01 1.008000561418624652e-01
4.626009051020485430e+00 9.994936023578095963e-01 1.209038141408142752e-01
4.636788574819142639e+00 9.995526955574474126e-01 1.436156341641659506e-01
4.647568098617798960e+00 9.996040011770772615e-01 1.689963884156929219e-01
4.658347622416455280e+00 9.996485731894977356e-01 1.970211183167819569e-01
4.669127146215112489e+00 9.996875531369364687e-01 2.275087951043239798e-01
4.679906670013768810e+00 9.997216864996233410e-01 2.602592911528969766e-01
4.690686193812425131e+00 9.997514807240389656e-01 2.950101404778306402e-01
4.701465717611082340e+00 9.997777052048830715e-01 3.313408498049203454e-01
4.712245241409738661e+00 9.998008254904354741e-01 3.688341349142083558e-01
4.723024765208394982e+00 9.998211483471910466e-01 4.070047899209408571e-01
4.733804289007052191e+00 9.998391196403348946e-01 4.453511809853784031e-01
4.744583812805708511e+00 9.998550574367709443e-01 4.833959619658586560e-01
4.755363336604364832e+00 9.998691721081168771e-01 5.206284517513134480e-01
4.766142860403022041e+00 9.998817017753958147e-01 5.565949751634247100e-01
4.776922384201678362e+00 9.998928750857045689e-01 5.909477655527602957e-01
4.787701908000334683e+00 9.999028398293460240e-01 6.233197026740419089e-01
4.798481431798991892e+00 9.999117176001849350e-01 6.533466913635246343e-01
4.809260955597648213e+00 9.999196752083974182e-01 6.808833127396016760e-01
4.820040479396304534e+00 9.999268175154851779e-01 7.057339129146616985e-01
4.830820003194961743e+00 9.999332046757578585e-01 7.275912875343688579e-01
4.841599526993618063e+00 9.999389563220777433e-01 7.464536039028655257e-01
4.852379050792274384e+00 9.999441431368989441e-01 7.622092164332883168e-01
4.863158574590930705e+00 9.999488102472224860e-01 7.746492147434644870e-01
4.873938098389587914e+00 9.999530253082529185e-01 7.837364220902555134e-01
4.884717622188244235e+00 9.999568432835609366e-01 7.894323486971231985e-01
4.895497145986900556e+00 9.999602986440705443e-01 7.915986968855178718e-01
4.906276669785556876e+00 9.999634278932849618e-01 7.901493396770361555e-01
4.917056193584214085e+00 9.999662741101044139e-01 7.851333576745643805e-01
4.927835717382870406e+00 9.999688640414603480e-01 7.765193215847034924e-01
4.938615241181526727e+00 9.999712155737966457e-01 7.642375958130873670e-01
4.949394764980183936e+00 9.999733627337021868e-01 7.484900967833229002e-01
4.960174288778840257e+00 9.999753252672327619e-01 7.294053978806316341e-01
4.970953812577496578e+00 9.999771139189876923e-01 7.070874733179079996e-01
4.981733336376153787e+00 9.999787518900732364e-01 6.818857140880434375e-01
4.992512860174810108e+00 9.999802543822762235e-01 6.541268198592899985e-01
5.003292383973466428e+00 9.999816303839536014e-01 6.241477649243647452e-01
5.014071907772123637e+00 9.999828930847529662e-01 5.923926127681073961e-01
5.024851431570779958e+00 9.999840552426214613e-01 5.593168766530487446e-01
5.035630955369436279e+00 9.999851244192662358e-01 5.253648776443575752e-01
5.046410479168093488e+00 9.999861074687097506e-01 4.910037609671660253e-01
5.057190002966749809e+00 9.999870151034592203e-01 4.566430983306143387e-01
5.067969526765406130e+00 9.999878537162220082e-01 4.226587952584918151e-01
5.078749050564063339e+00 9.999886261815112976e-01 3.894590488013032759e-01
5.089528574362719660e+00 9.999893415086084092e-01 3.572697386247659646e-01
5.100308098161375980e+00 9.999900044400540366e-01 3.263168524981204799e-01
